NAME,TEAM,SALARY,GP,MPG,FG%,3P%,FT%,RPG,APG,BLKPG,STLPG,PPG,POSITION
DeMarcus Cousins,Sacramento Kings,14746000,344,30.9,0.463,0.164,0.733,10.5,2.6,1.1,1.4,18.7,C
James Harden,Houston Rockets,14728844,439,32.2,0.444,0.369,0.853,4.3,4.4,0.4,1.4,19.4,SG
Chandler Parsons,Dallas Mavericks,14700000,274,34.1,0.469,0.374,0.71,5.1,3.1,0.4,1.1,14.4,SF
Al Jefferson,Charlotte Hornets,13500000,759,31.1,0.499,0.131,0.71,9.1,1.6,1.3,0.7,17,C
Nene Hilario,Washington Wizards,1.30E+07,740,29,0.544,0.111,0.671,6.7,2,0.8,1.2,12.5,PF
Eric Bledsoe,Phoenix Suns,1.30E+07,1280,36.5,0.451,0.334,0.837,5.3,4.8,0.5,1.5,25.4,PG
Andrew Bogut,Golden State Warriors,12972973,1048,36.3,0.443,0.371,0.8,4.1,4.2,0.2,0.9,17.3,C
Derrick Favors,Utah Jazz,12950000,830,36.5,0.455,0.345,0.811,6.6,3.1,0.5,1.1,25.2,PF
Rajon Rondo,Dallas Mavericks,12909090,800,35.8,0.579,0.104,0.573,12.8,1.5,2.1,1,18.2,PG
Joakim Noah,Chicago Bulls,12700000,840,35.9,0.495,0.326,0.799,8.6,2,1.1,0.8,19.3,C
Tony Parker,San Antonio Spurs,12500000,903,39.3,0.496,0.342,0.746,7.1,6.9,0.8,1.7,27.4,PG
Serge Ibaka,Oklahoma City Thunder,12350000,688,36.2,0.473,0.361,0.859,4.4,9.9,0.1,2.4,18.7,PF
Andre Iguodala,Golden State Warriors,12289544,702,35.1,0.448,0.357,0.817,3.1,8.5,0.3,1.1,17.1,SG
Nikola Pekovic,Minnesota Timberwolves,12100000,648,35.9,0.451,0.344,0.793,5.8,2.3,0.8,1.3,18.5,C
David West,Indiana Pacers,1.20E+07,569,38,0.481,0.379,0.881,6.9,3.5,1,1.2,27.3,PF
Kyle Lowry,Toronto Raptors,1.20E+07,335,35.9,0.453,0.306,0.815,3.7,6.5,0.4,0.8,20.5,PG
Al Horford,Atlanta Hawks,1.20E+07,364,35.6,0.524,0.256,0.653,9.8,3.9,0.6,1,21.5,C
Nicolas Batum,Portland Trail Blazers,11765500,904,32,0.473,0.263,0.762,9.5,1.8,0.3,0.8,17.1,SF
Ty Lawson,Denver Nuggets,11595506,638,35.5,0.485,0.276,0.796,8.4,2,1,0.8,19.3,PG
DeAndre Jordan,Los Angeles Clippers,11440123,505,33.7,0.509,0.164,0.759,7.9,3,1.6,0.9,14,C
Tyreke Evans,New Orleans Pelicans,11265416,431,33,0.448,0.361,0.814,11.9,2.4,0.5,0.7,18.8,SG
JaVale McGee,Philadelphia 76ers,11250000,495,33.9,0.432,0.304,0.82,5.2,7.1,0.3,1.7,20.9,C
Larry Sanders,Milwaukee Bucks,1.10E+07,400,32.4,0.509,0.059,0.791,7.3,1.3,1.7,0.5,17.7,C
Danilo Gallinari,Denver Nuggets,10854850,686,31.7,0.533,0.036,0.776,9.5,2.3,0.4,0.8,14.8,SF
Stephen Curry,Golden State Warriors,10629213,770,36.3,0.491,0.288,0.765,4.9,5.9,0.9,1.7,24.1,PG
Marcin Gortat,Washington Wizards,10434782,520,26,0.465,0.286,0.748,6.8,1.5,1.9,0.4,11.1,C
Tim Duncan,San Antonio Spurs,10361446,360,34.1,0.438,0.381,0.81,2.6,3.4,0.3,1.1,16.9,PF
Gerald Wallace,Boston Celtics,10105855,910,28.8,0.59,0,0.645,9.3,0.8,1.3,0.6,8.8,SF
DeMar DeRozan,Toronto Raptors,10100000,336,35.9,0.432,0.306,0.787,4.4,8.6,0.6,1.6,17.6,SG
Jrue Holiday,New Orleans Pelicans,9904495,344,30.9,0.463,0.164,0.733,10.5,2.6,1.1,1.4,18.7,PG
Luol Deng,Miami Heat,9714461,439,32.2,0.444,0.369,0.853,4.3,4.4,0.4,1.4,19.4,SF
Anderson Varejao,Cleveland Cavaliers,9704545,274,34.1,0.469,0.374,0.71,5.1,3.1,0.4,1.1,14.4,C
Steve Nash,Los Angeles Lakers,9701000,759,31.1,0.499,0.131,0.71,9.1,1.6,1.3,0.7,17,PG
Paul Millsap,Atlanta Hawks,9500000,740,29,0.544,0.111,0.671,6.7,2,0.8,1.2,12.5,PF
Thaddeus Young,Brooklyn Nets,9410869,1280,36.5,0.451,0.334,0.837,5.3,4.8,0.5,1.5,25.4,SF
Tiago Splitter,San Antonio Spurs,9250000,1048,36.3,0.443,0.371,0.8,4.1,4.2,0.2,0.9,17.3,C
Jeff Green,Memphis Grizzlies,9200000,830,36.5,0.455,0.345,0.811,6.6,3.1,0.5,1.1,25.2,SF
Lance Stephenson,Charlotte Hornets,9.00E+06,800,35.8,0.579,0.104,0.573,12.8,1.5,2.1,1,18.2,SG
Jordan Hill,Los Angeles Lakers,9.00E+06,840,35.9,0.495,0.326,0.799,8.6,2,1.1,0.8,19.3,C
Mike Conley,Memphis Grizzlies,8694216,903,39.3,0.496,0.342,0.746,7.1,6.9,0.8,1.7,27.4,PG
Trevor Ariza,Houston Rockets,8579089,688,36.2,0.473,0.361,0.859,4.4,9.9,0.1,2.4,18.7,SF
Channing Frye,Orlando Magic,8579088,702,35.1,0.448,0.357,0.817,3.1,8.5,0.3,1.1,17.1,PF
Marcus Thornton,Phoenix Suns,8575000,648,35.9,0.451,0.344,0.793,5.8,2.3,0.8,1.3,18.5,SG
Ryan Anderson,New Orleans Pelicans,8491500,569,38,0.481,0.379,0.881,6.9,3.5,1,1.2,27.3,PF
Jeremy Lin,Los Angeles Lakers,8374646,335,35.9,0.453,0.306,0.815,3.7,6.5,0.4,0.8,20.5,PG
Omer Asik,New Orleans Pelicans,8374646,364,35.6,0.524,0.256,0.653,9.8,3.9,0.6,1,21.5,C
Monta Ellis,Dallas Mavericks,8360000,904,32,0.473,0.263,0.762,9.5,1.8,0.3,0.8,17.1,SG
George Hill,Indiana Pacers,8.00E+06,638,35.5,0.485,0.276,0.796,8.4,2,1,0.8,19.3,PG
Jeff Teague,Atlanta Hawks,8.00E+06,505,33.7,0.509,0.164,0.759,7.9,3,1.6,0.9,14,PG
Dirk Nowitzki,Dallas Mavericks,7974482,431,33,0.448,0.361,0.814,11.9,2.4,0.5,0.7,18.8,PF
Ersan Ilyasova,Milwaukee Bucks,7900000,495,33.9,0.432,0.304,0.82,5.2,7.1,0.3,1.7,20.9,PF
Tayshaun Prince,Memphis Grizzlies,7707865,400,32.4,0.509,0.059,0.791,7.3,1.3,1.7,0.5,17.7,SF
Boris Diaw,San Antonio Spurs,7500000,686,31.7,0.533,0.036,0.776,9.5,2.3,0.4,0.8,14.8,C
Goran Dragic,Phoenix Suns,7500000,770,36.3,0.491,0.288,0.765,4.9,5.9,0.9,1.7,24.1,SG
Wesley Matthews,Portland Trail Blazers,7245640,520,26,0.465,0.286,0.748,6.8,1.5,1.9,0.4,11.1,SG
Isaiah Thomas,Phoenix Suns,7238606,360,34.1,0.438,0.381,0.81,2.6,3.4,0.3,1.1,16.9,PG
Avery Bradley,Boston Celtics,7191011,910,28.8,0.59,0,0.645,9.3,0.8,1.3,0.6,8.8,PG
Pau Gasol,Chicago Bulls,7128000,336,35.9,0.432,0.306,0.787,4.4,8.6,0.6,1.6,17.6,PF
Jose Calderon,New York Knicks,7097191,344,30.9,0.463,0.164,0.733,10.5,2.6,1.1,1.4,18.7,PG
Kyrie Irving,Cleveland Cavaliers,7070730,439,32.2,0.444,0.369,0.853,4.3,4.4,0.4,1.4,19.4,PG
Marvin Williams,Charlotte Hornets,7.00E+06,274,34.1,0.469,0.374,0.71,5.1,3.1,0.4,1.1,14.4,PF
Manu Ginobili,San Antonio Spurs,7.00E+06,759,31.1,0.499,0.131,0.71,9.1,1.6,1.3,0.7,17,SG
Brandon Bass,Boston Celtics,6900000,740,29,0.544,0.111,0.671,6.7,2,0.8,1.2,12.5,PF
Kevin Martin,Minnesota Timberwolves,6792500,310,24.8,0.449,0.334,0.778,3.6,4,0.5,1.4,10.6,SG
J.J. Redick,Los Angeles Clippers,6792500,561,30.6,0.529,0.087,0.561,9.2,2.3,1.6,0.7,11,SG
Wilson Chandler,Denver Nuggets,6757913,358,25,0.514,0.1,0.659,7.1,1,1.3,0.7,10.8,SF
Jason Richardson,Philadelphia 76ers,6601125,563,32.7,0.469,0.26,0.608,4.7,8.4,0.1,1.8,10.9,SG
J.R. Smith,New York Knicks,6515510,535,29.9,0.494,0,0.719,9.5,2.9,1.4,0.8,9.6,SG
Carl Landry,Sacramento Kings,6500000,995,32.5,0.494,0.323,0.754,2.9,5.9,0.1,0.9,17,PF
Greivis Vasquez,Toronto Raptors,6400000,446,28.2,0.533,0.372,0.744,7.5,0.5,2.6,0.4,11.4,PG
Derrick Williams,Sacramento Kings,6331404,823,36.2,0.462,0.332,0.717,5.5,4.7,0.5,1.7,14,PF
Jarrett Jack,Brooklyn Nets,6300000,259,25.4,0.521,0,0.759,6.9,0.7,0.6,0.5,12.9,PG
Kyle Korver,Atlanta Hawks,6253521,803,31.8,0.49,0.254,0.822,7.2,2.2,0.8,0.8,15.6,SG
Landry Fields,Toronto Raptors,6250000,1280,36.5,0.451,0.334,0.837,5.3,4.8,0.5,1.5,25.4,SG
Robin Lopez,Portland Trail Blazers,6124729,1048,36.3,0.443,0.371,0.8,4.1,4.2,0.2,0.9,17.3,C
Jason Thompson,Sacramento Kings,6037500,830,36.5,0.455,0.345,0.811,6.6,3.1,0.5,1.1,25.2,PF
Gerald Henderson,Charlotte Hornets,6.00E+06,800,35.8,0.579,0.104,0.573,12.8,1.5,2.1,1,18.2,SG
Jodie Meeks,Detroit Pistons,6.00E+06,840,35.9,0.495,0.326,0.799,8.6,2,1.1,0.8,19.3,SG
Chuck Hayes,Toronto Raptors,5958750,903,39.3,0.496,0.342,0.746,7.1,6.9,0.8,1.7,27.4,C
Jason Terry,Houston Rockets,5850313,688,36.2,0.473,0.361,0.859,4.4,9.9,0.1,2.4,18.7,SG
Patrick Patterson,Toronto Raptors,5831326,702,35.1,0.448,0.357,0.817,3.1,8.5,0.3,1.1,17.1,PF
P.J. Tucker,Phoenix Suns,5700000,648,35.9,0.451,0.344,0.793,5.8,2.3,0.8,1.3,18.5,SF
Enes Kanter,Utah Jazz,5694674,569,38,0.481,0.379,0.881,6.9,3.5,1,1.2,27.3,C
Anthony Davis,New Orleans Pelicans,5607240,335,35.9,0.453,0.306,0.815,3.7,6.5,0.4,0.8,20.5,PF
Anthony Bennett,Minnesota Timberwolves,5563920,364,35.6,0.524,0.256,0.653,9.8,3.9,0.6,1,21.5,PF
Andrew Wiggins,Minnesota Timberwolves,5510640,904,32,0.473,0.263,0.762,9.5,1.8,0.3,0.8,17.1,SF
Greg Monroe,Detroit Pistons,5479934,638,35.5,0.485,0.276,0.796,8.4,2,1,0.8,19.3,PF
Courtney Lee,Memphis Grizzlies,5450000,505,33.7,0.509,0.164,0.759,7.9,3,1.6,0.9,14,SG
Jamal Crawford,Los Angeles Clippers,5450000,431,33,0.448,0.361,0.814,11.9,2.4,0.5,0.7,18.8,SG
Martell Webster,Washington Wizards,5381750,495,33.9,0.432,0.304,0.82,5.2,7.1,0.3,1.7,20.9,SF
J.J. Hickson,Denver Nuggets,5381750,400,32.4,0.509,0.059,0.791,7.3,1.3,1.7,0.5,17.7,PF
Chris Andersen,Miami Heat,5375000,686,31.7,0.533,0.036,0.776,9.5,2.3,0.4,0.8,14.8,PF
Paul Pierce,Washington Wizards,5305000,770,36.3,0.491,0.288,0.765,4.9,5.9,0.9,1.7,24.1,SF
Josh McRoberts,Miami Heat,5305000,520,26,0.465,0.286,0.748,6.8,1.5,1.9,0.4,11.1,PF
Spencer Hawes,Los Angeles Clippers,5305000,360,34.1,0.438,0.381,0.81,2.6,3.4,0.3,1.1,16.9,PF
Nikola Mirotic,Chicago Bulls,5305000,910,28.8,0.59,0,0.645,9.3,0.8,1.3,0.6,8.8,PF
Keith Bogans,Philadelphia 76ers,5285817,336,35.9,0.432,0.306,0.787,4.4,8.6,0.6,1.6,17.6,SG
Zaza Pachulia,Milwaukee Bucks,5200000,344,30.9,0.463,0.164,0.733,10.5,2.6,1.1,1.4,18.7,C
Tristan Thompson,Cleveland Cavaliers,5138430,439,32.2,0.444,0.369,0.853,4.3,4.4,0.4,1.4,19.4,C
Michael Kidd-Gilchrist,Charlotte Hornets,5016960,274,34.1,0.469,0.374,0.71,5.1,3.1,0.4,1.1,14.4,SF
Trevor Booker,Utah Jazz,5.00E+06,759,31.1,0.499,0.131,0.71,9.1,1.6,1.3,0.7,17,PF
Brandan Wright,Phoenix Suns,5.00E+06,740,29,0.544,0.111,0.671,6.7,2,0.8,1.2,12.5,PF
Chase Budinger,Minnesota Timberwolves,5.00E+06,310,24.8,0.449,0.334,0.778,3.6,4,0.5,1.4,10.6,SF
Nick Young,Los Angeles Lakers,4994420,561,30.6,0.529,0.087,0.561,9.2,2.3,1.6,0.7,11,SF
Victor Oladipo,Orlando Magic,4978200,358,25,0.514,0.1,0.659,7.1,1,1.3,0.7,10.8,SG
Jabari Parker,Milwaukee Bucks,4930560,563,32.7,0.469,0.26,0.608,4.7,8.4,0.1,1.8,10.9,SF
Luis Scola,Indiana Pacers,4868499,535,29.9,0.494,0,0.719,9.5,2.9,1.4,0.8,9.6,PF
Tony Allen,Memphis Grizzlies,4831461,995,32.5,0.494,0.323,0.754,2.9,5.9,0.1,0.9,17,SF
Chris Kaman,Portland Trail Blazers,4800000,446,28.2,0.533,0.372,0.744,7.5,0.5,2.6,0.4,11.4,C
Darren Collison,Sacramento Kings,4797664,823,36.2,0.462,0.332,0.717,5.5,4.7,0.5,1.7,14,PG
Kostas Papanikolaou,Houston Rockets,4797664,259,25.4,0.521,0,0.759,6.9,0.7,0.6,0.5,12.9,SF
Corey Brewer,Minnesota Timberwolves,4702500,803,31.8,0.49,0.254,0.822,7.2,2.2,0.8,0.8,15.6,SG
Ricky Rubio,Minnesota Timberwolves,4660479,571,29.4,0.418,0.348,0.793,3.9,5.6,0.2,1.3,12.5,PG
Andre Miller,Washington Wizards,4650000,486,33.8,0.539,0.328,0.739,9.2,2.7,1.2,0.8,14.1,PG
Timofey Mozgov,Denver Nuggets,4650000,471,30.8,0.446,0.361,0.833,5,3,0.7,0.9,11.3,C
Bradley Beal,Washington Wizards,4505280,407,31.1,0.467,0.37,0.771,2.9,6.6,0.1,1.2,14.3,SG
Caron Butler,Detroit Pistons,4500000,496,30.1,0.438,0.354,0.824,4.9,1.3,0.9,0.4,15,SF
Ben Gordon,Orlando Magic,4500000,504,26,0.662,0.125,0.42,8.9,0.5,1.7,0.6,7.9,SG
Jonas Jerebko,Detroit Pistons,4500000,396,33.6,0.444,0.271,0.757,4.9,5.1,0.4,1.3,16.8,PF
Luc Richard Mbah a Moute,Philadelphia 76ers,4382576,336,30,0.415,0.365,0.85,4.5,1.8,0.5,0.8,14,PF
Kris Humphries,Washington Wizards,4250000,1280,36.5,0.451,0.334,0.837,5.3,4.8,0.5,1.5,25.4,PF
Jared Dudley,Milwaukee Bucks,4250000,1048,36.3,0.443,0.371,0.8,4.1,4.2,0.2,0.9,17.3,SF
C.J. Miles,Indiana Pacers,4205000,830,36.5,0.455,0.345,0.811,6.6,3.1,0.5,1.1,25.2,SG
Thabo Sefolosha,Atlanta Hawks,4150000,800,35.8,0.579,0.104,0.573,12.8,1.5,2.1,1,18.2,SF
Dion Waiters,Oklahoma City Thunder,4062000,840,35.9,0.495,0.326,0.799,8.6,2,1.1,0.8,19.3,SG
Samuel Dalembert,New York Knicks,4051527,903,39.3,0.496,0.342,0.746,7.1,6.9,0.8,1.7,27.4,C
Cody Zeller,Charlotte Hornets,4030560,688,36.2,0.473,0.361,0.859,4.4,9.9,0.1,2.4,18.7,PF
Danny Green,San Antonio Spurs,4025000,702,35.1,0.448,0.357,0.817,3.1,8.5,0.3,1.1,17.1,SG
Mario Chalmers,Miami Heat,4.00E+06,648,35.9,0.451,0.344,0.793,5.8,2.3,0.8,1.3,18.5,PG
Ian Mahinmi,Indiana Pacers,4.00E+06,569,38,0.481,0.379,0.881,6.9,3.5,1,1.2,27.3,C
Aaron Gordon,Orlando Magic,3992040,335,35.9,0.453,0.306,0.815,3.7,6.5,0.4,0.8,20.5,PF
Mo Williams,Charlotte Hornets,3965074,364,35.6,0.524,0.256,0.653,9.8,3.9,0.6,1,21.5,PG
Vince Carter,Memphis Grizzlies,3911981,904,32,0.473,0.263,0.762,9.5,1.8,0.3,0.8,17.1,SG
Kevin Seraphin,Washington Wizards,3898692,638,35.5,0.485,0.276,0.796,8.4,2,1,0.8,19.3,C
Bismack Biyombo,Charlotte Hornets,3873398,505,33.7,0.509,0.164,0.759,7.9,3,1.6,0.9,14,C
Patty Mills,San Antonio Spurs,3842105,431,33,0.448,0.361,0.814,11.9,2.4,0.5,0.7,18.8,PG
Joel Anthony,Detroit Pistons,3800000,495,33.9,0.432,0.304,0.82,5.2,7.1,0.3,1.7,20.9,C
Raymond Felton,Dallas Mavericks,3793693,400,32.4,0.509,0.059,0.791,7.3,1.3,1.7,0.5,17.7,PG
Jonas Valanciunas,Toronto Raptors,3678360,686,31.7,0.533,0.036,0.776,9.5,2.3,0.4,0.8,14.8,C
Thomas Robinson,Portland Trail Blazers,3678360,770,36.3,0.491,0.288,0.765,4.9,5.9,0.9,1.7,24.1,PF
Marreese Speights,Golden State Warriors,3657500,520,26,0.465,0.286,0.748,6.8,1.5,1.9,0.4,11.1,C
Alex Len,Phoenix Suns,3649920,360,34.1,0.438,0.381,0.81,2.6,3.4,0.3,1.1,16.9,C
Dante Exum,Utah Jazz,3615000,910,28.8,0.59,0,0.645,9.3,0.8,1.3,0.6,8.8,SG
Brandon Knight,Phoenix Suns,3553917,336,35.9,0.432,0.306,0.787,4.4,8.6,0.6,1.6,17.6,PG
Gerald Green,Phoenix Suns,3500000,344,30.9,0.463,0.164,0.733,10.5,2.6,1.1,1.4,18.7,SG
Darrell Arthur,Denver Nuggets,3457149,439,32.2,0.444,0.369,0.853,4.3,4.4,0.4,1.4,19.4,PF
Steve Novak,Utah Jazz,3445947,274,34.1,0.469,0.374,0.71,5.1,3.1,0.4,1.1,14.4,SF
Matt Barnes,Los Angeles Clippers,3396250,759,31.1,0.499,0.131,0.71,9.1,1.6,1.3,0.7,17,SF
Mirza Teletovic,Brooklyn Nets,3368100,740,29,0.544,0.111,0.671,6.7,2,0.8,1.2,12.5,PF
Damian Lillard,Portland Trail Blazers,3340920,310,24.8,0.449,0.334,0.778,3.6,4,0.5,1.4,10.6,PG
Mike Scott,Atlanta Hawks,3333333,561,30.6,0.529,0.087,0.561,9.2,2.3,1.6,0.7,11,PF
Tyler Hansbrough,Toronto Raptors,3326235,358,25,0.514,0.1,0.659,7.1,1,1.3,0.7,10.8,PF
Andrei Kirilenko,Brooklyn Nets,3326235,563,32.7,0.469,0.26,0.608,4.7,8.4,0.1,1.8,10.9,SF
Mike Dunleavy,Chicago Bulls,3326235,535,29.9,0.494,0,0.719,9.5,2.9,1.4,0.8,9.6,SF
Nerlens Noel,Philadelphia 76ers,3315120,995,32.5,0.494,0.323,0.754,2.9,5.9,0.1,0.9,17,C
Marcus Smart,Boston Celtics,3283320,446,28.2,0.533,0.372,0.744,7.5,0.5,2.6,0.4,11.4,PG
Alexey Shved,Philadelphia 76ers,3282056,823,36.2,0.462,0.332,0.717,5.5,4.7,0.5,1.7,14,PG
Jason Smith,New York Knicks,3278000,259,25.4,0.521,0,0.759,6.9,0.7,0.6,0.5,12.9,PF
Evan Turner,Boston Celtics,3278000,803,31.8,0.49,0.254,0.822,7.2,2.2,0.8,0.8,15.6,SG
Kemba Walker,Charlotte Hornets,3272091,571,29.4,0.418,0.348,0.793,3.9,5.6,0.2,1.3,12.5,PG
Carlos Boozer,Los Angeles Lakers,3251000,486,33.8,0.539,0.328,0.739,9.2,2.7,1.2,0.8,14.1,PF
Gary Neal,Charlotte Hornets,3250000,471,30.8,0.446,0.361,0.833,5,3,0.7,0.9,11.3,SG
Carlos Delfino,Los Angeles Clippers,3250000,407,31.1,0.467,0.37,0.771,2.9,6.6,0.1,1.2,14.3,SG
Anthony Morrow,Oklahoma City Thunder,3200000,496,30.1,0.438,0.354,0.824,4.9,1.3,0.9,0.4,15,SG
Dorell Wright,Portland Trail Blazers,3150000,504,26,0.662,0.125,0.42,8.9,0.5,1.7,0.6,7.9,SF
Quincy Pondexter,Memphis Grizzlies,3146068,396,33.6,0.444,0.271,0.757,4.9,5.1,0.4,1.3,16.8,SG
Harrison Barnes,Golden State Warriors,3049920,336,30,0.415,0.365,0.85,4.5,1.8,0.5,0.8,14,SF
Alec Burks,Utah Jazz,3034356,403,35.1,0.468,0.435,0.899,4.1,6.9,0.2,1.7,20.8,PG
Ben McLemore,Sacramento Kings,3026280,508,25,0.548,0.176,0.675,7.5,0.9,1.2,0.5,9.8,SG
Joel Freeland,Portland Trail Blazers,3013512,1318,34.5,0.506,0.176,0.695,11,3.1,2.2,0.7,19.6,C
Anthony Tolliver,Phoenix Suns,3.00E+06,829,29.8,0.469,0.312,0.71,5.8,2.1,0.8,1.4,12,PF
Kosta Koufos,Memphis Grizzlies,3.00E+06,432,33.4,0.441,0.268,0.817,3.8,2.3,0.3,0.9,17,C
Randy Foye,Denver Nuggets,3.00E+06,369,33,0.439,0.375,0.79,3.6,6.1,0.4,1.5,13.7,SG
Julius Randle,Los Angeles Lakers,2997360,738,35.6,0.459,0.336,0.772,6.2,2.4,0.5,1,15.9,PF
Markieff Morris,Phoenix Suns,2989239,560,25.8,0.514,0.024,0.63,7.8,1.2,0.7,0.9,7.9,PF
Marcus Morris,Phoenix Suns,2943221,681,28.7,0.504,0.345,0.727,7.3,2,1,1.3,13.5,PF
Will Bynum,Boston Celtics,2915908,580,30.3,0.495,0.327,0.697,5.5,1.5,0.4,1.4,13.8,PG
Kawhi Leonard,San Antonio Spurs,2894059,304,19.8,0.56,0,0.687,5.3,1.3,0.6,0.6,8.3,SF
Marco Belinelli,San Antonio Spurs,2873750,544,32.6,0.439,0.342,0.792,5,1.6,0.6,0.8,14.3,SF
Terrence Ross,Toronto Raptors,2793960,264,26.8,0.445,0.296,0.669,4.5,3.3,0.1,0.7,9,SF
Kentavious Caldwell-Pope,Detroit Pistons,2772480,322,18.6,0.498,0.176,0.696,5.8,0.7,0.7,0.3,7.8,SG
Nikola Vucevic,Orlando Magic,2751260,573,32.6,0.443,0.375,0.802,2.9,5.6,0.2,1.5,13.4,C
Luke Ridnour,Orlando Magic,2750000,701,27.7,0.428,0.345,0.708,4.7,2.1,0.3,1.4,10,PG
Nik Stauskas,Sacramento Kings,2745840,652,24.7,0.439,0.387,0.818,5,1.1,0.7,0.6,9.6,SG
Brian Roberts,Charlotte Hornets,2732000,388,24.8,0.429,0.362,0.828,2.9,1.4,0.1,0.9,12.7,PG
Jameer Nelson,Denver Nuggets,2732000,409,25.4,0.424,0.38,0.858,5.5,0.9,0.4,0.6,12.6,PG
Kirk Hinrich,Chicago Bulls,2732000,284,26.9,0.44,0.349,0.797,2.6,4.8,0.4,1.3,11.7,SG
Iman Shumpert,New York Knicks,2616975,342,20.6,0.533,0,0.556,7.7,0.7,0.9,0.4,5.9,SG
Andre Drummond,Detroit Pistons,2568360,669,35.8,0.453,0.317,0.774,3.6,4.8,0.3,1.7,19.3,C
Trey Burke,Utah Jazz,2548560,463,27.7,0.449,0.368,0.806,3,3.1,0.3,0.9,11,PG
Noah Vonleh,Charlotte Hornets,2524200,494,31.5,0.432,0.377,0.823,3.2,2.9,0.3,1,14.4,PF
James Johnson,Toronto Raptors,2500000,430,25.6,0.449,0.34,0.84,2,5,0.3,1.2,11.5,PF
DeMarre Carroll,Atlanta Hawks,2442455,1255,35.5,0.475,0.382,0.879,8,2.6,0.9,0.9,22.3,SF
Austin Rivers,Los Angeles Clippers,2439840,441,23.9,0.446,0.366,0.777,6.1,1.1,0.4,0.7,10.6,SG
Shelvin Mack,Atlanta Hawks,2433333,931,32.1,0.455,0.37,0.757,4.5,2.5,0.5,0.6,11.8,PG
C.J. McCollum,Portland Trail Blazers,2421000,902,28.6,0.494,0.34,0.714,4.6,3.7,0.5,0.7,9.1,SG
Elfrid Payton,Orlando Magic,2397840,490,25.8,0.469,0.362,0.749,2.7,4.5,0.2,1,12.1,PG
Tobias Harris,Orlando Magic,2380594,441,32.2,0.443,0.393,0.825,3.1,2.1,0.2,1.1,14.3,SF
Meyers Leonard,Portland Trail Blazers,2317920,272,28.4,0.442,0.364,0.861,2.5,4.6,0.1,1,15.5,C
Michael Carter-Williams,Philadelphia 76ers,2300040,270,25.5,0.435,0.361,0.78,2.5,1.5,0.2,0.9,10.4,PG
